Title	Author	Description	Published At	URL
Trudeau says Canada and the U.S. will 'do good things together' with Trump in the White House		Prime Minister Justin Trudeau sounded an upbeat note Tuesday on the prospect of working with U.S. president-elect Donald Trump, saying Canada has dealt with his trade threats before and can do so again.	2024-11-12T19:31:01Z	https://www.cbc.ca/news/politics/trudeau-trump-do-good-things-together-1.7381237
John Horgan, former B.C. premier and Canada's ambassador to Germany, dead at 65		Former B.C. premier John Horgan has died at the age of 65, CBC News has confirmed. In June this year, Horgan told CBC that he had been diagnosed with cancer for the third time during a routine followup appointment for his previous throat cancer.	2024-11-12T20:02:05Z	https://www.cbc.ca/news/canada/british-columbia/john-horgan-dead-bc-premier-1.7381286
Border agency clears employee after Indian media reports link him with terrorism		A Canada Border Services Agency superintendent is speaking out after being targeted by the Indian government with allegations of murder and terrorism — allegations Canadian authorities say are not backed by any evidence.	2024-11-12T22:00:00Z	https://www.cbc.ca/news/politics/canada-border-india-sikh-modi-1.7380804
Trudeau flying in and out of Bermuda Wednesday to deliver eulogy for Peter Green		Prime Minister Justin Trudeau is flying in and out of Bermuda on Wednesday, where he will deliver a eulogy at the funeral for Peter Green, a close family friend.	2024-11-13T16:30:23Z	https://www.cbc.ca/news/politics/trudeau-funeral-peter-green-eulogy-bermuda-1.7382170
After keeping her distance, Liberal premier ready to work with Trudeau		Susan Holt, who repeatedly emphasized her differences with the prime minister leading up to last month’s election, was on more welcoming terms Tuesday after their first official meeting in Fredericton.	2024-11-12T20:31:04Z	https://www.cbc.ca/news/canada/new-brunswick/susan-holt-justin-trudeau-1.7381312
After a brief retreat, politicians are again clamouring for the notwithstanding clause		When Ontario Premier Doug Ford was compelled to abandon his attempt to use the notwithstanding clause to end a labour dispute in 2022, it was possible to believe the tide had turned against the Charter’s escape clause. But the political temptation to override…	2024-11-13T09:00:00Z	https://www.cbc.ca/news/politics/notwithstanding-clause-charter-rights-1.7381447
Canada launches $2-billion public-private finance platform for developing countries at COP29	Victor Swezey	The platform features investments from Mitsubishi Financial Group, the Green Climate Fund, the Global Environmental Facility and national development finance body FinDev Canada	2024-11-12T22:44:06Z	https://www.theglobeandmail.com/business/article-cop29-canada-climate-finance-platform/
Former U.S. commerce secretary says he 'can't imagine' Trump would tax Canadian energy		Donald Trump's former commerce secretary says he 'can't imagine' the U.S. president-elect would want to tax Canadian energy, despite campaign promises about imposing a global tariff when he takes office in January.	2024-11-10T20:26:01Z	https://www.cbc.ca/news/politics/former-u-s-commerce-secretary-says-he-can-t-imagine-trump-would-tax-canadian-energy-1.7379880
Federal byelection called in B.C.'s Cloverdale-Langley City riding		The prime minister has announced that a byelection will be held in the federal seat of Cloverdale-Langley City, in B.C.'s Lower Mainland, on Dec. 16.	2024-11-10T19:43:46Z	https://www.cbc.ca/news/canada/british-columbia/federal-byelection-cloverdale-langley-city-1.7379893
Canadian government speaking with allies about Palestinian statehood recognition, official tells MPs		Ottawa has been speaking with like-minded countries about recognizing a Palestinian state, a government official told a committee of parliamentarians studying the quickest path toward such a declaration Thursday afternoon.	2024-11-08T09:00:00Z	https://www.cbc.ca/news/politics/canadian-government-speaking-with-allies-about-palestinian-statehood-recognition-official-tells-mps-1.7377712
Family of Murray Sinclair remember his life as 'beacon of integrity and compassion' ahead of memorial service		"The family of the late Murray Sinclair will remember his life as being ""a beacon of integrity and compassion"" as they are joined by members of the public, the Canadian Governor General and prime minister during a commemorative service at Winnipeg's Canada Lif…"	2024-11-10T18:13:23Z	https://www.cbc.ca/news/canada/manitoba/murray-sinclair-winnipeg-memorial-service-1.7379730
Time limits for trials were meant to speed up justice. They've also halted hundreds of criminal cases		Supporters say the Supreme Court of Canada's so-called Jordan ruling in 2016 has sped up proceedings and strengthened Charter rights for prompt justice. But some victims say the time limits for trials work in criminals' favour and cases continue to collapse b…	2024-11-10T14:00:00Z	https://www.cbc.ca/news/canada/british-columbia/canada-jordan-ruling-justice-system-delays-1.7378300
Prime Minister Justin Trudeau congratulates Trump on his victory		Prime Minister Justin Trudeau released a statement early Wednesday morning congratulating Donald Trump on winning back the U.S. presidency.	2024-11-06T13:51:26Z	https://www.cbc.ca/news/politics/trudeau-trump-victory-1.7375159
As it loses ground to Russia, Ukraine greets Trump win with public praise and private worry		"Among the first world leaders to publicly react to Donald Trump's latest electoral victory was Ukraine's President Volodymyr Zelenskyy, who praised his win and applauded what he described as Trump's commitment to achieving ""peace through strength."" But Ukrain…"	2024-11-06T16:53:31Z	https://www.cbc.ca/news/ukraine-trump-win-russia-war-1.7375206
Poilievre accuses Trudeau of sowing 'divisions' that led to Brampton's violent temple clash		In a testy exchange in the House of Commons on Tuesday, Conservative Leader Pierre Poilievre accused Prime Minister Justin Trudeau of sowing the divisions that led to the violent clash between Sikh separatists and Hindu worshippers outside a Hindu temple in B…	2024-11-05T21:44:07Z	https://www.cbc.ca/news/politics/poilievre-trudeau-hindu-temple-1.7374451
'Grueling and arduous': A look back at Canada-U.S. relations during the first Trump presidency		Canadian political leaders are congratulating Donald Trump on winning back the U.S. presidency — a victory that raises questions about what Canada-U.S. relations will look like over the next four years.	2024-11-06T20:59:49Z	https://www.cbc.ca/news/politics/canada-united-states-trump-1.7375698
Ottawa has been preparing for next U.S. president 'for months,' foreign affairs minister says		Foreign Affairs Minister Mélanie Joly says Canadian preparations for the next U.S. president have been in the works for months as American voters decide who will replace Joe Biden in the White House.	2024-11-05T22:03:48Z	https://www.cbc.ca/news/politics/joly-says-canada-preparing-for-month-next-president-1.7374577
Singh and May are welcome in N.S. campaign, but Trudeau and Poilievre not so much		The Nova Scotia Greens and New Democrats have put out the welcome mat for national leaders Elizabeth May and Jagmeet Singh, but the Liberals and the PCs have slammed the door on help from Justin Trudeau and Pierre Poilievre.	2024-11-05T10:00:00Z	https://www.cbc.ca/news/canada/nova-scotia/jagmeet-singh-pierre-poilievre-justin-trudeau-elizabeth-may-national-leaders-ns-election-1.7373197
With Trump's return, another wave of uncertainty washes over Canadian politics		The United States is both our loud neighbour and — by orders of magnitude — our most valuable trading partner. But living beside (and under the umbrella of) the world’s most powerful democracy also has brought with it a certain peace of mind. At least, it did…	2024-11-06T23:08:17Z	https://www.cbc.ca/news/politics/trump-canada-trudeau-trade-1.7376006
UN refugee chief says reducing refugee targets is 'wise' if it prevents backlash		"It is ""wise"" of Canada to scale back the number of refugees it plans to resettle if that helps stabilize the housing market and prevents backlash against newcomers, the head of the UN refugee agency said during a visit to Ottawa this week."	2024-11-05T19:10:47Z	https://www.cbc.ca/news/politics/un-refugee-canada-immigration-1.7374319
Quebec prepares for a rise in border crossings with threat of mass deportations under Trump		In 2017, in the months after Donald Trump was elected, thousands of people crossed into Canada at Quebec's Roxham Road. Now, community groups and authorities are preparing for another increase.	2024-11-07T16:52:38Z	https://www.cbc.ca/news/canada/montreal/canada-quebec-mass-deportations-migrants-1.7376532
Senators amend Bloc Québécois supply management bill, putting it on path back to Commons		Senators on the foreign affairs committee amended a controversial agricultural trade bill Wednesday, putting it on a path back to the House of Commons.	2024-11-07T17:14:41Z	https://www.cbc.ca/news/politics/supply-management-bill-senate-1.7376654
Leaders talk immigration, free hospital parking on Day 12 of N.S. election campaign		Leader Zach Churchill says a plan by the incumbent Progressive Conservatives to double the province's population to two million people by the year 2060 is unrealistic and unsustainable.	2024-11-07T19:58:01Z	https://www.cbc.ca/news/canada/nova-scotia/election-campaign-day-12-november-7-1.7377087
Trudeau hopes a 'silent majority' is still willing to listen		He surely would reject any such comparison but, in a recent interview, Justin Trudeau briefly sounded just a little bit like Richard Nixon.	2024-11-02T08:00:00Z	https://www.cbc.ca/news/politics/trudeau-poilievre-election-1.7370930
India criticizes Canada for linking minister to plots targeting Sikhs, calling allegation 'absurd'		"India has officially protested the Canadian government's allegation that the country's powerful Home Minister Amit Shah had ordered the targeting of Sikh activists inside Canada, calling it ""absurd and baseless."""	2024-11-02T14:42:38Z	https://www.cbc.ca/news/world/amit-shah-allegations-india-reaction-1.7371969
Senators pay tribute to Murray Sinclair: 'He left an indelible imprint'		Senators who worked with Murray Sinclair remember the Anishinaabe judge as a courageous leader and towering intellect who left his mark on Canada's upper house, raising the bar for all of them.	2024-11-04T16:02:49Z	https://www.cbc.ca/news/indigenous/murray-sinclair-senate-tribute-1.7374238
